Material No,Int. Material No.,Description,Base UOM,Mfr Part No,Manufacturer,Manufacturer Name,Material Group,Model Number,Plant Code
210000001,,FILTER SOOT,NO,4W7103,100984,CATERPILLAR INDIA PVT. LTD.,21,G 3616 CAT GAS ENGINE,11F2
210000002,,OIL NGEO,NO,2169224,100984,CATERPILLAR INDIA PVT. LTD.,21,G 3616 CAT GAS ENGINE,11F2
210000004,,HYDRA-CEL,NO,80-502-100,405696,NATIONAL OILWELL VARCO,21,12-P-160,11F2
210000005,,LOK-CEL,NO,80-501-100,405696,NATIONAL OILWELL VARCO,21,12-P-160,11F2
210000006,,SELF-ALIGNING PISTON ROD,NO,2095220,405696,NATIONAL OILWELL VARCO,21,12-P-160,11F2
210000007,,HYD. HAND PUMP TOOL FOR LINER REMOVAL,NO,80-500-112,405696,NATIONAL OILWELL VARCO,21,12-P-160,11F2
210000008,,HYDRA-CEL,NO,80-502-102,405696,NATIONAL OILWELL VARCO,21,A1700PT,11F2
210000009,,LOK-CEL,NO,80-501-102,405696,NATIONAL OILWELL VARCO,21,A1700PT,11F2
210000015,,SHAFT FUEL PUMP DRIVE,NO,100215,120666,"CUMMINS INDIA LIMITED, (DISTRIBUTION BUSINESS UNIT)",21,3067,11F2
210000016,,KIT AIR CLEANER ELEMENT,NO,3238358,120666,"CUMMINS INDIA LIMITED, (DISTRIBUTION BUSINESS UNIT)",21,NTA743,11F2
210000017,,KIT AIR CLEANER ELEMENT,NO,3238453,120666,"CUMMINS INDIA LIMITED, (DISTRIBUTION BUSINESS UNIT)",21,NTA495,25A!
210000018,,FRONT DRIVE GEAR BEARING,NO,SS800278,102500,INGERSOLL RAND (I) LTD.,21,KTA3067,25A!
210000019,,BEARING HOUSING LO SIDE,NO,29663330032,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,25A!
210000020,,BEARING HOUSING HI SIDE,NO,49663330416,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,25A!
210000021,,BEARING RETAINER,NO,39663330071,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,25A!
210000022,,BEARING RETAINER,NO,39663330070,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,25A!
210000023,,BEARING HOUSING,NO,19662930006,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,42G1
210000024,,BEARING RETAINER,NO,19662930008,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,42G1
210000025,,BEARING HOUSING,NO,49662931161,100769,BHARAT HEAVY ELECTRICALS LIMITED.,21,E1400,42G1